pathway,Taxonomy,gene
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,UniRef90_U2CFH9
1CMET2-PWY,g__Bacteroides.s__Bacteroides_vulgatus_CAG_6,UniRef90_Q5LAX0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_uniformis,
1CMET2-PWY,g__Bacteroides.s__Bacteroides_uniformis,UniRef90_A0A174V5E8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_uniformis,UniRef90_A0A174VMU6
1CMET2-PWY,g__Bacteroides.s__Bacteroides_uniformis,UniRef90_A0A174AKU3
1CMET2-PWY,g__Bacteroides.s__Bacteroides_uniformis,UniRef90_A0A174V2R7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_uniformis,UniRef90_A0A174V325
1CMET2-PWY,g__Bacteroides.s__Bacteroides_uniformis,UniRef90_A0A174LHK8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_uniformis,UniRef90_Q8A9S7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_uniformis,UniRef90_U2CFH9
1CMET2-PWY,g__Bacteroides.s__Bacteroides_uniformis,UniRef90_Q5LAX0
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_A0A174V5E8
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_A0A174VMU6
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_A0A174AKU3
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_A0A174V2R7
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_A0A174V325
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_A0A174LHK8
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_Q8A9S7
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_U2CFH9
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_Q5LAX0
1CMET2-PWY,g__Alistipes.s__Alistipes_putredinis,
1CMET2-PWY,g__Alistipes.s__Alistipes_putredinis,UniRef90_A0A174V5E8
1CMET2-PWY,g__Alistipes.s__Alistipes_putredinis,UniRef90_A0A174VMU6
1CMET2-PWY,g__Alistipes.s__Alistipes_putredinis,UniRef90_A0A174AKU3
1CMET2-PWY,g__Alistipes.s__Alistipes_putredinis,UniRef90_A0A174V2R7
1CMET2-PWY,g__Alistipes.s__Alistipes_putredinis,UniRef90_A0A174V325
1CMET2-PWY,g__Alistipes.s__Alistipes_putredinis,UniRef90_A0A174LHK8
1CMET2-PWY,g__Alistipes.s__Alistipes_putredinis,UniRef90_Q8A9S7
