original_name,cleaned_name
PWY-7560: methylerythritol phosphate pathway II,PWY-7560
PWY-7234: inosine-5'-phosphate biosynthesis III,PWY-7234
TRPSYN-PWY: L-tryptophan biosynthesis,TRPSYN-PWY
PWY-6901: superpathway of glucose and xylose degradation,PWY-6901
PYRIDNUCSAL-PWY: NAD salvage pathway I,PYRIDNUCSAL-PWY
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II,PWY-7187
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),PWY0-166
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes),THISYNARA-PWY
PWY0-1061: superpathway of L-alanine biosynthesis,PWY0-1061
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I,COBALSYN-PWY
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis,PWY0-162
PWY-5973: cis-vaccenate biosynthesis,PWY-5973
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type",PWY-7117
PENTOSE-P-PWY: pentose phosphate pathway,PENTOSE-P-PWY
PWY-6897: thiamin salvage II,PWY-6897
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II,PWY-6125
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",P4-PWY
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",PRPP-PWY
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",PWY-241
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I,PWY-7228
PWY-5913: TCA cycle VI (obligate autotrophs),PWY-5913
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,ASPASN-PWY
P124-PWY: Bifidobacterium shunt,P124-PWY
PWY-7663: gondoate biosynthesis (anaerobic),PWY-7663
PWY-4981: L-proline biosynthesis II (from arginine),PWY-4981
PWY0-781: aspartate superpathway,PWY0-781
THISYN-PWY: superpathway of thiamin diphosphate biosynthesis I,THISYN-PWY
PWY-621: sucrose degradation III (sucrose invertase),PWY-621
PWY-6305: putrescine biosynthesis IV,PWY-6305
PWY-5384: sucrose degradation IV (sucrose phosphorylase),PWY-5384
PWY-4041: &gamma;-glutamyl cycle,PWY-4041
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis,MET-SAM-PWY
PWY-5104: L-isoleucine biosynthesis IV,PWY-5104
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration),PWY-5347
GLYCOCAT-PWY: glycogen degradation I (bacterial),GLYCOCAT-PWY
PWY-622: starch biosynthesis,PWY-622
METSYN-PWY: L-homoserine and L-methionine biosynthesis,METSYN-PWY
PWY-6703: preQ0 biosynthesis,PWY-6703
PWYG-321: mycolate biosynthesis,PWYG-321
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),PWY-5121
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I,PWY-7184
PWY-2941: L-lysine biosynthesis II,PWY-2941
PWY-7208: superpathway of pyrimidine nucleobases salvage,PWY-7208
FASYN-ELONG-PWY: fatty acid elongation -- saturated,FASYN-ELONG-PWY
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",PWY-7115
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance),PWY-6470
PWY0-1261: anhydromuropeptides recycling,PWY0-1261
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV,PWY-7198
PWY-7664: oleate biosynthesis IV (anaerobic),PWY-7664
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,PWY-6147
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,PWY-7211
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),FASYN-INITIAL-PWY
PWY-5989: stearate biosynthesis II (bacteria and plants),PWY-5989
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III,PWY-6545
PWY0-862: (5Z)-dodec-5-enoate biosynthesis,PWY0-862
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",GLCMANNANAUT-PWY
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",PWY-7388
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),PWY-7539
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),PWY-6282
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria),HEXITOLDEGSUPER-PWY
PWY-5188: tetrapyrrole biosynthesis I (from glutamate),PWY-5188
PWY-5177: glutaryl-CoA degradation,PWY-5177
LACTOSECAT-PWY: lactose and galactose degradation I,LACTOSECAT-PWY
CITRULBIO-PWY: L-citrulline biosynthesis,CITRULBIO-PWY
PWY-1861: formaldehyde assimilation II (RuMP Cycle),PWY-1861
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff,GLYCOLYSIS-E-D
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,BIOTIN-BIOSYNTHESIS-PWY
METH-ACETATE-PWY: methanogenesis from acetate,METH-ACETATE-PWY
FERMENTATION-PWY: mixed acid fermentation,FERMENTATION-PWY
