pathway,Taxonomy,gene
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans_CAG_15,UniRef90_R6JJ34
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans_CAG_15,UniRef90_Q8A639
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans_CAG_15,UniRef90_C4Z4B0
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans_CAG_15,UniRef90_A0A0P0LI34
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans_CAG_15,UniRef90_A0A139JXD7
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans_CAG_15,UniRef90_A0A076INA9
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans_CAG_15,UniRef90_Q8A9S7
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans_CAG_15,UniRef90_Q5LAX0
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_D1JYI7
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_B3JMT5
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_A0A076J5W7
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_A0A173WIK6
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_A6L1Q8
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_R6JJ34
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_Q8A639
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_C4Z4B0
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_A0A0P0LI34
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_A0A139JXD7
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_A0A076INA9
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_Q8A9S7
1CMET2-PWY,g__Roseburia.s__Roseburia_inulinivorans,UniRef90_Q5LAX0
1CMET2-PWY,g__Bacteroides.s__Bacteroides_fragilis,
1CMET2-PWY,g__Bacteroides.s__Bacteroides_fragilis,UniRef90_D1JYI7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_fragilis,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_fragilis,UniRef90_B3JMT5
1CMET2-PWY,g__Bacteroides.s__Bacteroides_fragilis,UniRef90_A0A076J5W7
1CMET2-PWY,g__Bacteroides.s__Bacteroides_fragilis,UniRef90_A0A173WIK6
1CMET2-PWY,g__Bacteroides.s__Bacteroides_fragilis,UniRef90_A6L1Q8
1CMET2-PWY,g__Bacteroides.s__Bacteroides_fragilis,UniRef90_R6JJ34
1CMET2-PWY,g__Bacteroides.s__Bacteroides_fragilis,UniRef90_Q8A639
