original_name,cleaned_name
"PWY-7237: myo-, chiro- and scillo-inositol degradation",PWY-7237
HSERMETANA-PWY: L-methionine biosynthesis III,HSERMETANA-PWY
PWY-5030: L-histidine degradation III,PWY-5030
PWY-6317: galactose degradation I (Leloir pathway),PWY-6317
PWY66-422: D-galactose degradation V (Leloir pathway),PWY66-422
PWY-6892: thiazole biosynthesis I (E. coli),PWY-6892
PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),PWY0-166
ANAEROFRUCAT-PWY: homolactic fermentation,ANAEROFRUCAT-PWY
PWY-4981: L-proline biosynthesis II (from arginine),PWY-4981
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli),OANTIGEN-PWY
PENTOSE-P-PWY: pentose phosphate pathway,PENTOSE-P-PWY
PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I,PWY-7184
PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria),PHOSLIPSYN-PWY
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch),NONOXIPENT-PWY
PWY0-1296: purine ribonucleosides degradation,PWY0-1296
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II,PWY-7187
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,BIOTIN-BIOSYNTHESIS-PWY
FASYN-ELONG-PWY: fatty acid elongation -- saturated,FASYN-ELONG-PWY
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast),PWY-7282
PWY-6527: stachyose degradation,PWY-6527
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose),GLYCOGENSYNTH-PWY
PWYG-321: mycolate biosynthesis,PWYG-321
PWY-7664: oleate biosynthesis IV (anaerobic),PWY-7664
PWY-6519: 8-amino-7-oxononanoate biosynthesis I,PWY-6519
PWY0-1261: anhydromuropeptides recycling,PWY0-1261
RHAMCAT-PWY: L-rhamnose degradation I,RHAMCAT-PWY
PWY-5989: stearate biosynthesis II (bacteria and plants),PWY-5989
PWY0-862: (5Z)-dodec-5-enoate biosynthesis,PWY0-862
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),PWY-6282
PWY-621: sucrose degradation III (sucrose invertase),PWY-621
PWY-4984: urea cycle,PWY-4984
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",PWY-7388
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III,PWY-6545
PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I,PWY-1269
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli),FASYN-INITIAL-PWY
PWY-5971: palmitate biosynthesis II (bacteria and plants),PWY-5971
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I,COBALSYN-PWY
GLUCONEO-PWY: gluconeogenesis I,GLUCONEO-PWY
PWY-6305: putrescine biosynthesis IV,PWY-6305
PWY-5941: glycogen degradation II (eukaryotic),PWY-5941
PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic),PWY4FS-7
PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic),PWY4FS-8
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I,UDPNAGSYN-PWY
NAD-BIOSYNTHESIS-II: NAD salvage pathway II,NAD-BIOSYNTHESIS-II
PWY-5100: pyruvate fermentation to acetate and lactate II,PWY-5100
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli),POLYISOPRENSYN-PWY
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation,PWY-7197
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate),GLYCOLYSIS
PWY-6901: superpathway of glucose and xylose degradation,PWY-6901
PWY-5484: glycolysis II (from fructose 6-phosphate),PWY-5484
PWY-6608: guanosine nucleotides degradation III,PWY-6608
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,PWY-7323
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,PWY-7332
COLANSYN-PWY: colanic acid building blocks biosynthesis,COLANSYN-PWY
PWY-5188: tetrapyrrole biosynthesis I (from glutamate),PWY-5188
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis,PWY0-162
PWY66-400: glycolysis VI (metazoan),PWY66-400
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",PRPP-PWY
TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis,TEICHOICACID-PWY
PWY-5104: L-isoleucine biosynthesis IV,PWY-5104
PWY-6859: all-trans-farnesol biosynthesis,PWY-6859
PWY-7456: mannan degradation,PWY-7456
PWY-2941: L-lysine biosynthesis II,PWY-2941
PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium),PWY-6471
PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance),PWY-6470
NAGLIPASYN-PWY: lipid IVA biosynthesis,NAGLIPASYN-PWY
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff,GLYCOLYSIS-E-D
PWY0-1479: tRNA processing,PWY0-1479
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,ARG+POLYAMINE-SYN
PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,PWY-7211
PWY-6895: superpathway of thiamin diphosphate biosynthesis II,PWY-6895
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",GLCMANNANAUT-PWY
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration),PWY-5347
PWY-6113: superpathway of mycolate biosynthesis,PWY-6113
PWY-7196: superpathway of pyrimidine ribonucleosides salvage,PWY-7196
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis,MET-SAM-PWY
METSYN-PWY: L-homoserine and L-methionine biosynthesis,METSYN-PWY
PWY-7234: inosine-5'-phosphate biosynthesis III,PWY-7234
PWY66-399: gluconeogenesis III,PWY66-399
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation,GALACT-GLUCUROCAT-PWY
PWY-5505: L-glutamate and L-glutamine biosynthesis,PWY-5505
P164-PWY: purine nucleobases degradation I (anaerobic),P164-PWY
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I,POLYAMSYN-PWY
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,FUC-RHAMCAT-PWY
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation),PWY-5345
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation,GLUCUROCAT-PWY
GALACTUROCAT-PWY: D-galacturonate degradation I,GALACTUROCAT-PWY
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation,PWY-6507
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria),HEXITOLDEGSUPER-PWY
TCA: TCA cycle I (prokaryotic),TCA
PWY0-1061: superpathway of L-alanine biosynthesis,PWY0-1061
PWY-6353: purine nucleotides degradation II (aerobic),PWY-6353
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis,SULFATE-CYS-PWY
PWY66-409: superpathway of purine nucleotide salvage,PWY66-409
"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation",PWY-5138
PWY-5676: acetyl-CoA fermentation to butanoate II,PWY-5676
PWY-6285: superpathway of fatty acids biosynthesis (E. coli),PWY-6285
"PWY-7013: L-1,2-propanediol degradation",PWY-7013
HOMOSER-METSYN-PWY: L-methionine biosynthesis I,HOMOSER-METSYN-PWY
PWY-7242: D-fructuronate degradation,PWY-7242
DAPLYSINESYN-PWY: L-lysine biosynthesis I,DAPLYSINESYN-PWY
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,PWY0-1241
PWY-4041: &gamma;-glutamyl cycle,PWY-4041
P108-PWY: pyruvate fermentation to propanoate I,P108-PWY
PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation,PWY-6590
P441-PWY: superpathway of N-acetylneuraminate degradation,P441-PWY
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",PWY-7383
PWY0-781: aspartate superpathway,PWY0-781
PWY-5083: NAD/NADH phosphorylation and dephosphorylation,PWY-5083
FUCCAT-PWY: fucose degradation,FUCCAT-PWY
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",P4-PWY
PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase),PWY-6969
CENTFERM-PWY: pyruvate fermentation to butanoate,CENTFERM-PWY
PWY-5177: glutaryl-CoA degradation,PWY-5177
PWY-5690: TCA cycle II (plants and fungi),PWY-5690
PWY-5136: fatty acid &beta;-oxidation II (peroxisome),PWY-5136
PWY66-391: fatty acid &beta;-oxidation VI (peroxisome),PWY66-391
HEMESYN2-PWY: heme biosynthesis II (anaerobic),HEMESYN2-PWY
PWY-5005: biotin biosynthesis II,PWY-5005
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation,PWY0-1298
FAO-PWY: fatty acid &beta;-oxidation I,FAO-PWY
PWY-6606: guanosine nucleotides degradation II,PWY-6606
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage,FOLSYN-PWY
"PWY-7288: fatty acid &beta;-oxidation (peroxisome, yeast)",PWY-7288
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",GOLPDLCAT-PWY
PWY-6891: thiazole biosynthesis II (Bacillus),PWY-6891
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens),PWY-5304
SALVADEHYPOX-PWY: adenosine nucleotides degradation II,SALVADEHYPOX-PWY
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),PWY-6284
PWY-7003: glycerol degradation to butanol,PWY-7003
SO4ASSIM-PWY: sulfate reduction I (assimilatory),SO4ASSIM-PWY
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),PWY-821
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase),P105-PWY
POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II,POLYAMINSYN3-PWY
PWY-6630: superpathway of L-tyrosine biosynthesis,PWY-6630
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",GLYCOLYSIS-TCA-GLYOX-BYPASS
PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV,PWY-7198
PWY-6612: superpathway of tetrahydrofolate biosynthesis,PWY-6612
PWY-5022: 4-aminobutanoate degradation V,PWY-5022
"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",PWY-5464
PWY-6549: L-glutamine biosynthesis III,PWY-6549
PWY-6572: chondroitin sulfate degradation I (bacterial),PWY-6572
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",PWY-7115
PWY0-1297: superpathway of purine deoxyribonucleosides degradation,PWY0-1297
PWY-5838: superpathway of menaquinol-8 biosynthesis I,PWY-5838
PWY-5845: superpathway of menaquinol-9 biosynthesis,PWY-5845
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",P461-PWY
PWY-6531: mannitol cycle,PWY-6531
FERMENTATION-PWY: mixed acid fermentation,FERMENTATION-PWY
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic),HEME-BIOSYNTHESIS-II
PWY66-398: TCA cycle III (animals),PWY66-398
PWY-1861: formaldehyde assimilation II (RuMP Cycle),PWY-1861
PWY-7315: dTDP-N-acetylthomosamine biosynthesis,PWY-7315
METHGLYUT-PWY: superpathway of methylglyoxal degradation,METHGLYUT-PWY
GLUDEG-I-PWY: GABA shunt,GLUDEG-I-PWY
PWY-5840: superpathway of menaquinol-7 biosynthesis,PWY-5840
PWY-5897: superpathway of menaquinol-11 biosynthesis,PWY-5897
PWY-5898: superpathway of menaquinol-12 biosynthesis,PWY-5898
PWY-5899: superpathway of menaquinol-13 biosynthesis,PWY-5899
PWY-6595: superpathway of guanosine nucleotides degradation (plants),PWY-6595
PWY66-389: phytol degradation,PWY66-389
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type",PWY-7117
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",PWY-6318
METH-ACETATE-PWY: methanogenesis from acetate,METH-ACETATE-PWY
P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle),P185-PWY
PWY-6588: pyruvate fermentation to acetone,PWY-6588
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation,PWY-561
PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii),PWY4LZ-257
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",PWY-241
P42-PWY: incomplete reductive TCA cycle,P42-PWY
