original_name,cleaned_name
PWY-7446: sulfoglycolysis,PWY-7446
PWY0-41: allantoin degradation IV (anaerobic),PWY0-41
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation,GLYCOL-GLYOXDEG-PWY
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia),PWY-6467
PWY-6749: CMP-legionaminate biosynthesis I,PWY-6749
PWY0-1338: polymyxin resistance,PWY0-1338
PWY-5692: allantoin degradation to glyoxylate II,PWY-5692
URDEGR-PWY: superpathway of allantoin degradation in plants,URDEGR-PWY
PWY-5994: palmitate biosynthesis I (animals and fungi),PWY-5994
PWY-7031: protein N-glycosylation (bacterial),PWY-7031
NONMEVIPP-PWY: methylerythritol phosphate pathway I,NONMEVIPP-PWY
PWY-7560: methylerythritol phosphate pathway II,PWY-7560
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),PWY-5121
PWY-7392: taxadiene biosynthesis (engineered),PWY-7392
PWY-6270: isoprene biosynthesis I,PWY-6270
PWY-4321: L-glutamate degradation IV,PWY-4321
PWY-3781: aerobic respiration I (cytochrome c),PWY-3781
PWY-6785: hydrogen production VIII,PWY-6785
PWY-101: photosynthesis light reactions,PWY-101
CRNFORCAT-PWY: creatinine degradation I,CRNFORCAT-PWY
PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast),PWY-7268
PWY-7245: superpathway NAD/NADP - NADH/NADPH interconversion (yeast),PWY-7245
PWY-7279: aerobic respiration II (cytochrome c) (yeast),PWY-7279
PWY-6562: norspermidine biosynthesis,PWY-6562
PWY-6107: chlorosalicylate degradation,PWY-6107
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates),PWY-7389
RUMP-PWY: formaldehyde oxidation I,RUMP-PWY
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)",PWY-7409
"PWY-7384: anaerobic energy metabolism (invertebrates, mitochondrial)",PWY-7384
PWY5F9-12: biphenyl degradation,PWY5F9-12
PWY-7118: chitin degradation to ethanol,PWY-7118
PWY-7165: L-ascorbate biosynthesis VI (engineered pathway),PWY-7165
PWY-1541: superpathway of taurine degradation,PWY-1541
PWY-5004: superpathway of L-citrulline metabolism,PWY-5004
PWY-6215: 4-chlorobenzoate degradation,PWY-6215
PWY-6071: superpathway of phenylethylamine degradation,PWY-6071
PWY0-321: phenylacetate degradation I (aerobic),PWY0-321
PWY-7218: photosynthetic 3-hydroxybutanoate biosynthesis (engineered),PWY-7218
PWY-7124: ethylene biosynthesis V (engineered),PWY-7124
PHOTOALL-PWY: oxygenic photosynthesis,PHOTOALL-PWY
"PWY-6953: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis",PWY-6953
PWY-5265: peptidoglycan biosynthesis II (staphylococci),PWY-5265
PWY-5180: toluene degradation I (aerobic) (via o-cresol),PWY-5180
PWY-5182: toluene degradation II (aerobic) (via 4-methylcatechol),PWY-5182
PWY-5415: catechol degradation I (meta-cleavage pathway),PWY-5415
PWY-5101: L-isoleucine biosynthesis II,PWY-5101
PWY-7399: methylphosphonate degradation II,PWY-7399
PWY1G-0: mycothiol biosynthesis,PWY1G-0
P621-PWY: nylon-6 oligomer degradation,P621-PWY
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PWY-5910
PWY-922: mevalonate pathway I,PWY-922
METHANOGENESIS-PWY: methanogenesis from H2 and CO2,METHANOGENESIS-PWY
PWY-5028: L-histidine degradation II,PWY-5028
PWY-7527: L-methionine salvage cycle III,PWY-7527
"PWY-6396: superpathway of 2,3-butanediol biosynthesis",PWY-6396
P241-PWY: coenzyme B biosynthesis,P241-PWY
PWY-4361: S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation,PWY-4361
PWY-7391: isoprene biosynthesis II (engineered),PWY-7391
PWY-6174: mevalonate pathway II (archaea),PWY-6174
PWY-6435: 4-hydroxybenzoate biosynthesis V,PWY-6435
PWY3O-1109: superpathway of 4-hydroxybenzoate biosynthesis (yeast),PWY3O-1109
PWY-5754: 4-hydroxybenzoate biosynthesis I (eukaryotes),PWY-5754
"PWY-7039: phosphatidate metabolism, as a signaling molecule",PWY-7039
PWY-622: starch biosynthesis,PWY-622
PWY-4722: creatinine degradation II,PWY-4722
P101-PWY: ectoine biosynthesis,P101-PWY
PWY-7007: methyl ketone biosynthesis,PWY-7007
PWY-7337: 10-cis-heptadecenoyl-CoA degradation (yeast),PWY-7337
"PWY-7338: 10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)",PWY-7338
PWY-5178: toluene degradation IV (aerobic) (via catechol),PWY-5178
DENITRIFICATION-PWY: nitrate reduction I (denitrification),DENITRIFICATION-PWY
PWY-6098: diploterol and cycloartenol biosynthesis,PWY-6098
PWY-6167: flavin biosynthesis II (archaea),PWY-6167
PWY-6349: CDP-archaeol biosynthesis,PWY-6349
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis,PWY-7286
PWY-7317: superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis,PWY-7317
PWY-5198: factor 420 biosynthesis,PWY-5198
PWY-6165: chorismate biosynthesis II (archaea),PWY-6165
PWY-5532: adenosine nucleotides degradation IV,PWY-5532
"PWY-7374: 1,4-dihydroxy-6-naphthoate biosynthesis I",PWY-7374
VALDEG-PWY: L-valine degradation I,VALDEG-PWY
"PWY-5509: adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I",PWY-5509
TYRFUMCAT-PWY: L-tyrosine degradation I,TYRFUMCAT-PWY
PWY-7431: aromatic biogenic amine degradation (bacteria),PWY-7431
PWY-6313: serotonin degradation,PWY-6313
"PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)",PWY-6307
PWY-6748: nitrate reduction VII (denitrification),PWY-6748
PWY-5183: superpathway of aerobic toluene degradation,PWY-5183
PWY-6906: chitin derivatives degradation,PWY-6906
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II,PWY-5514
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II,UDPNACETYLGALSYN-PWY
PWY-6281: L-selenocysteine biosynthesis II (archaea and eukaryotes),PWY-6281
PWY-1361: benzoyl-CoA degradation I (aerobic),PWY-1361
LIPASYN-PWY: phospholipases,LIPASYN-PWY
PWY-6797: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea),PWY-6797
PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes),PWY-6138
LEU-DEG2-PWY: L-leucine degradation I,LEU-DEG2-PWY
"PWY-6992: 1,5-anhydrofructose degradation",PWY-6992
PWY-6857: retinol biosynthesis,PWY-6857
PWY66-201: nicotine degradation IV,PWY66-201
PWY-5044: purine nucleotides degradation I (plants),PWY-5044
PWY-6596: adenosine nucleotides degradation I,PWY-6596
PWY-3661: glycine betaine degradation I,PWY-3661
PWY-2201: folate transformations I,PWY-2201
PWY6666-2: dopamine degradation,PWY6666-2
PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis,PWY1F-823
PWY-5724: superpathway of atrazine degradation,PWY-5724
PWY-7528: L-methionine salvage cycle I (bacteria and plants),PWY-7528
PWY-6565: superpathway of polyamine biosynthesis III,PWY-6565
PWY-7290: Escherichia coli serotype O86 O-antigen biosynthesis,PWY-7290
PWY-1501: mandelate degradation I,PWY-1501
PWY-5420: catechol degradation II (meta-cleavage pathway),PWY-5420
PWY-5419: catechol degradation to 2-oxopent-4-enoate II,PWY-5419
PWY-5430: meta cleavage pathway of aromatic compounds,PWY-5430
PWY-6981: chitin biosynthesis,PWY-6981
PWY-5381: pyridine nucleotide cycling (plants),PWY-5381
PWY-5079: L-phenylalanine degradation III,PWY-5079
PWY-7411: superpathway of phosphatidate biosynthesis (yeast),PWY-7411
PWY-5647: 2-nitrobenzoate degradation I,PWY-5647
PWY-5870: ubiquinol-8 biosynthesis (eukaryotic),PWY-5870
PWY-7235: superpathway of ubiquinol-6 biosynthesis (eukaryotic),PWY-7235
PWY-5871: ubiquinol-9 biosynthesis (eukaryotic),PWY-5871
PWY-5873: ubiquinol-7 biosynthesis (eukaryotic),PWY-5873
PWY-6352: 3-phosphoinositide biosynthesis,PWY-6352
PWY-6075: ergosterol biosynthesis I,PWY-6075
PWY-181: photorespiration,PWY-181
PWY-1622: formaldehyde assimilation I (serine pathway),PWY-1622
P165-PWY: superpathway of purines degradation in plants,P165-PWY
PWY-6957: mandelate degradation to acetyl-CoA,PWY-6957
"7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)",7ALPHADEHYDROX-PWY
PWY-6344: L-ornithine degradation II (Stickland reaction),PWY-6344
CODH-PWY: reductive acetyl coenzyme A pathway,CODH-PWY
PWY-5534: propylene degradation,PWY-5534
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism,ALL-CHORISMATE-PWY
PWY-7185: UTP and CTP dephosphorylation I,PWY-7185
PWY-4061: glutathione-mediated detoxification I,PWY-4061
PWY-6948: sitosterol degradation to androstenedione,PWY-6948
PWY-5328: superpathway of L-methionine salvage and degradation,PWY-5328
ILEUDEG-PWY: L-isoleucine degradation I,ILEUDEG-PWY
PWY-7112: 4-hydroxy-2-nonenal detoxification,PWY-7112
PWY-6367: D-myo-inositol-5-phosphate metabolism,PWY-6367
"PWY-6351: D-myo-inositol (1,4,5)-trisphosphate biosynthesis",PWY-6351
PWY-7433: mucin core 1 and core 2 O-glycosylation,PWY-7433
PWY-6368: 3-phosphoinositide degradation,PWY-6368
PWY-7283: wybutosine biosynthesis,PWY-7283
PWY66-374: C20 prostanoid biosynthesis,PWY66-374
PWY-7420: monoacylglycerol metabolism (yeast),PWY-7420
PWY-6558: heparan sulfate biosynthesis (late stages),PWY-6558
PWY-7277: sphingolipid biosynthesis (mammals),PWY-7277
PWY-6861: the visual cycle I (vertebrates),PWY-6861
PWY-6145: superpathway of sialic acids and CMP-sialic acids biosynthesis,PWY-6145
"PWY-6358: superpathway of D-myo-inositol (1,4,5)-trisphosphate metabolism",PWY-6358
PWY3O-19: ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic),PWY3O-19
PWY-6362: 1D-myo-inositol hexakisphosphate biosynthesis II (mammalian),PWY-6362
PWY-6555: superpathway of 1D-myo-inositol hexakisphosphate biosynthesis (plants),PWY-6555
"PWY-6554: 1D-myo-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)",PWY-6554
PWY-6371: superpathway of inositol phosphate compounds,PWY-6371
PWY-7426: mannosyl-glycoprotein N-acetylglucosaminyltransferases,PWY-7426
PWY-5067: glycogen biosynthesis II (from UDP-D-Glucose),PWY-5067
PWY-7434: terminal O-glycans residues modification,PWY-7434
PWY-6569: chondroitin sulfate biosynthesis,PWY-6569
PWY-5872: ubiquinol-10 biosynthesis (eukaryotic),PWY-5872
PWY-6564: heparan sulfate biosynthesis,PWY-6564
LYSINE-DEG1-PWY: L-lysine degradation XI (mammalian),LYSINE-DEG1-PWY
"PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)",PWY-6309
PWY-6557: glycoaminoglycan-protein linkage region biosynthesis,PWY-6557
PWY-7511: protein ubiquitylation,PWY-7511
