OTU1_clean,OTU2_clean,weight
1CMET2-PWY,GLYCOGENSYNTH-PWY,-0.11444808560179
1CMET2-PWY,HISTSYN-PWY,0.9030193652506318
1CMET2-PWY,PWY-6124,0.9025429396957013
1CMET2-PWY,PWY66-422,-0.13532737829535446
ANAEROFRUCAT-PWY,ARGSYNBSUB-PWY,0.8988940774674967
ANAEROFRUCAT-PWY,DTDPRHAMSYN-PWY,-0.7326879738503037
ANAEROFRUCAT-PWY,HSERMETANA-PWY,0.9028649478995601
ANAEROFRUCAT-PWY,PWY-1042,-0.21804298899969474
ANAEROFRUCAT-PWY,PWY-5154,0.8946076481280835
ANAGLYCOLYSIS-PWY,PWY-7237,0.9048964761075617
ANAGLYCOLYSIS-PWY,PWY-7663,0.9022207534469454
ANAGLYCOLYSIS-PWY,PWY-841,0.8974115476077662
ANAGLYCOLYSIS-PWY,PWY66-422,-0.005097454121813524
ARGININE-SYN4-PWY,DTDPRHAMSYN-PWY,-0.481636942123557
ARGININE-SYN4-PWY,PWY-5103,0.876060293134226
ARGININE-SYN4-PWY,PWY-6703,0.8737511275160951
ARGSYN-PWY,DTDPRHAMSYN-PWY,-0.6553188104542779
ARGSYN-PWY,PHOSLIPSYN-PWY,0.9035929736508246
ARGSYN-PWY,PWY-1042,-0.07153628066545163
ARGSYN-PWY,PWY-7357,0.901275522589243
ARGSYN-PWY,PWY-7400,0.9029819747985859
ARGSYN-PWY,SER-GLYSYN-PWY,0.9034620021248618
ARGSYNBSUB-PWY,ASPASN-PWY,0.9006545755778722
ARGSYNBSUB-PWY,DTDPRHAMSYN-PWY,-0.7167530364506287
ARGSYNBSUB-PWY,HSERMETANA-PWY,0.90126588129718
ARGSYNBSUB-PWY,PWY-1042,-0.18584455994501944
ARO-PWY,GLYCOGENSYNTH-PWY,-0.20666256553670534
ARO-PWY,PWY66-422,-0.22687595991002157
ARO-PWY,RIBOSYN2-PWY,0.9039724791298603
ARO-PWY,TRNA-CHARGING-PWY,0.9011386283162967
ASPASN-PWY,DTDPRHAMSYN-PWY,-0.704717344275854
ASPASN-PWY,HSERMETANA-PWY,0.896598255517718
ASPASN-PWY,PWY-1042,-0.16225806931457978
BRANCHED-CHAIN-AA-SYN-PWY,DTDPRHAMSYN-PWY,-0.34377856676902446
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6703,0.90231446191684
BRANCHED-CHAIN-AA-SYN-PWY,TRPSYN-PWY,0.9039333954271346
CALVIN-PWY,DENOVOPURINE2-PWY,0.9041966285923673
CALVIN-PWY,DTDPRHAMSYN-PWY,-0.08137393826118229
CALVIN-PWY,PWY-6151,0.9048464327612683
CITRULBIO-PWY,DTDPRHAMSYN-PWY,-0.7906826781635165
CITRULBIO-PWY,NONOXIPENT-PWY,0.9023971803806641
CITRULBIO-PWY,PWY-1042,-0.3455175266023785
CITRULBIO-PWY,PWY-7208,0.8973946946197715
COA-PWY,DTDPRHAMSYN-PWY,-0.20549766010757328
COA-PWY,PANTOSYN-PWY,0.9045947589808667
COA-PWY,PWY-2942,0.9044842427647731
COA-PWY-1,GLYCOGENSYNTH-PWY,-0.24086785412351128
COA-PWY-1,PWY-6737,0.9044527685543119
COA-PWY-1,PWY-6936,0.9043636502228396
COA-PWY-1,PWY66-422,-0.26074366343804994
COMPLETE-ARO-PWY,GLYCOGENSYNTH-PWY,-0.14486857569919898
COMPLETE-ARO-PWY,PWY-6123,0.9050909361900132
COMPLETE-ARO-PWY,PWY-6700,0.9050880210779263
COMPLETE-ARO-PWY,PWY66-422,-0.16556765354756234
DENOVOPURINE2-PWY,DTDPRHAMSYN-PWY,-0.08657816287325228
DENOVOPURINE2-PWY,PANTO-PWY,0.9046252027405164
DENOVOPURINE2-PWY,PWY-6151,0.9045004072770398
DTDPRHAMSYN-PWY,GLUCONEO-PWY,-0.8060685956631056
DTDPRHAMSYN-PWY,GLUTORN-PWY,-0.8191995144870029
DTDPRHAMSYN-PWY,GLYCOGENSYNTH-PWY,-0.9012408641609886
DTDPRHAMSYN-PWY,HISDEG-PWY,-0.8811986787626336
DTDPRHAMSYN-PWY,HSERMETANA-PWY,-0.7268483688143084
DTDPRHAMSYN-PWY,NONOXIPENT-PWY,-0.7962453294627325
DTDPRHAMSYN-PWY,OANTIGEN-PWY,-0.8088997903521484
DTDPRHAMSYN-PWY,PANTO-PWY,-0.0894427190484205
DTDPRHAMSYN-PWY,PANTOSYN-PWY,-0.2025703334429097
DTDPRHAMSYN-PWY,PENTOSE-P-PWY,-0.8279815106067976
DTDPRHAMSYN-PWY,PHOSLIPSYN-PWY,-0.6504187561302567
DTDPRHAMSYN-PWY,PWY-1042,0.6567597469790036
DTDPRHAMSYN-PWY,PWY-2941,-0.8937139180709193
DTDPRHAMSYN-PWY,PWY-2942,-0.20198733328856483
DTDPRHAMSYN-PWY,PWY-3001,-0.27284610430619516
DTDPRHAMSYN-PWY,PWY-4242,-0.15596185142419378
DTDPRHAMSYN-PWY,PWY-4981,-0.8830175849055022
DTDPRHAMSYN-PWY,PWY-5030,-0.833258479838275
DTDPRHAMSYN-PWY,PWY-5097,-0.14175454268943016
DTDPRHAMSYN-PWY,PWY-5103,-0.5827035401394559
DTDPRHAMSYN-PWY,PWY-5154,-0.7573486002954786
DTDPRHAMSYN-PWY,PWY-6147,-0.2805832716017179
DTDPRHAMSYN-PWY,PWY-6151,-0.08303037492377657
DTDPRHAMSYN-PWY,PWY-6317,-0.8987777959449501
DTDPRHAMSYN-PWY,PWY-6609,0.584586363853738
DTDPRHAMSYN-PWY,PWY-6703,-0.35734133574772214
DTDPRHAMSYN-PWY,PWY-6897,-0.6048461086900442
DTDPRHAMSYN-PWY,PWY-7184,-0.824651651498543
DTDPRHAMSYN-PWY,PWY-7187,-0.8356125387570312
DTDPRHAMSYN-PWY,PWY-7199,-0.14003434054594197
DTDPRHAMSYN-PWY,PWY-7208,-0.8056742467680014
DTDPRHAMSYN-PWY,PWY-724,-0.23509252747833387
DTDPRHAMSYN-PWY,PWY-7282,-0.8834610296929984
DTDPRHAMSYN-PWY,PWY-7357,-0.6671507563351785
DTDPRHAMSYN-PWY,PWY-7400,-0.6484994954134916
DTDPRHAMSYN-PWY,PWY-7539,-0.30819726283267795
DTDPRHAMSYN-PWY,PWY-841,-0.036126514699219715
DTDPRHAMSYN-PWY,PWY0-1296,-0.2365562094333724
DTDPRHAMSYN-PWY,PWY0-166,-0.8077066729063975
DTDPRHAMSYN-PWY,PWY4FS-7,-0.8920184394064093
DTDPRHAMSYN-PWY,PWY4FS-8,-0.8920184394064093
DTDPRHAMSYN-PWY,PWY66-400,-0.8616013921689986
DTDPRHAMSYN-PWY,PWY66-422,-0.9051482536448665
