OTU1_clean,OTU2_clean,weight
1CMET2-PWY,CITRULBIO-PWY,-0.33252616647359357
1CMET2-PWY,PWY-6121,0.9035357021835763
1CMET2-PWY,PWY-6901,-0.3289083512045835
1CMET2-PWY,PWY-7229,0.9034158053869707
ANAEROFRUCAT-PWY,FASYN-INITIAL-PWY,0.9027749893136703
ANAEROFRUCAT-PWY,PWY-1042,-0.7345807382808592
ANAEROFRUCAT-PWY,PWY-5103,0.9045821769786248
ANAEROFRUCAT-PWY,PWY-5971,0.9012227730562117
ANAEROFRUCAT-PWY,PWY0-1586,-0.6207735620539097
ANAGLYCOLYSIS-PWY,PWY-1042,-0.13726576737661886
ANAGLYCOLYSIS-PWY,PWY-724,0.9035499472016556
ANAGLYCOLYSIS-PWY,PWY-7539,0.8996016133055439
ARGININE-SYN4-PWY,FASYN-ELONG-PWY,0.8947699298746584
ARGININE-SYN4-PWY,HSERMETANA-PWY,0.9014428714270322
ARGININE-SYN4-PWY,PWY-1042,-0.5373282631015467
ARGININE-SYN4-PWY,PWY0-1586,-0.3696772851195448
ARGININE-SYN4-PWY,PWY0-162,0.9050742523935398
ARGSYN-PWY,PWY-1042,-0.7835126385691568
ARGSYN-PWY,PWY-6897,0.904797063248057
ARGSYN-PWY,PWY-7400,0.9032799534129159
ARGSYN-PWY,PWY0-1586,-0.6868994088865141
ARGSYNBSUB-PWY,OANTIGEN-PWY,0.9040523412123185
ARGSYNBSUB-PWY,PWY-1042,-0.8295286855677272
ARGSYNBSUB-PWY,PWY-5347,0.903668111613559
ARGSYNBSUB-PWY,PWY0-1586,-0.7505794371919314
ARO-PWY,CITRULBIO-PWY,-0.24027921094702304
ARO-PWY,PWY-5973,0.9045881011763026
ARO-PWY,PWY-6901,-0.236447904018426
ARO-PWY,PWY-7228,0.9035653516285459
ASPASN-PWY,BRANCHED-CHAIN-AA-SYN-PWY,0.899189867127035
ASPASN-PWY,GLYCOLYSIS,0.9046646870037707
ASPASN-PWY,HSERMETANA-PWY,0.9009850727921329
ASPASN-PWY,PWY-1042,-0.5062586238321649
ASPASN-PWY,PWY0-1586,-0.3322395997198328
BIOTIN-BIOSYNTHESIS-PWY,PHOSLIPSYN-PWY,0.9040426916683015
BIOTIN-BIOSYNTHESIS-PWY,PWY-1042,-0.6159318258912861
BIOTIN-BIOSYNTHESIS-PWY,PWY-7664,0.9019333443069534
BIOTIN-BIOSYNTHESIS-PWY,PWY0-1586,-0.466886082984513
BRANCHED-CHAIN-AA-SYN-PWY,PWY-1042,-0.48205508740840725
BRANCHED-CHAIN-AA-SYN-PWY,PWY-7199,0.9030907059468748
BRANCHED-CHAIN-AA-SYN-PWY,PWY0-1586,-0.3034503653370532
CALVIN-PWY,CITRULBIO-PWY,-0.40512923363044284
CALVIN-PWY,PWY-6163,0.9012922633038984
CALVIN-PWY,PWY-6901,-0.4017282576313977
CALVIN-PWY,PWY-7220,0.9040711107432091
CALVIN-PWY,PWY-7222,0.9040711107432091
CITRULBIO-PWY,COA-PWY-1,-0.07410925400472984
CITRULBIO-PWY,COMPLETE-ARO-PWY,-0.1794389926247071
CITRULBIO-PWY,DTDPRHAMSYN-PWY,-0.7193070312435853
CITRULBIO-PWY,ILEUSYN-PWY,-0.8254980854560403
CITRULBIO-PWY,METSYN-PWY,0.8867126585139005
CITRULBIO-PWY,PEPTIDOGLYCANSYN-PWY,-0.5919759621907738
CITRULBIO-PWY,PWY-1042,-0.9051482536448665
CITRULBIO-PWY,PWY-3841,-0.18675773426507972
CITRULBIO-PWY,PWY-5097,-0.023353967930425306
CITRULBIO-PWY,PWY-5667,-0.3102164754772627
CITRULBIO-PWY,PWY-5686,-0.14516222242413004
CITRULBIO-PWY,PWY-5695,-0.5788707048912938
CITRULBIO-PWY,PWY-5973,-0.23736439268982404
CITRULBIO-PWY,PWY-6121,-0.3246296428358117
CITRULBIO-PWY,PWY-6122,-0.27565850273524967
CITRULBIO-PWY,PWY-6123,-0.13928968662237853
CITRULBIO-PWY,PWY-6124,-0.057274646500242776
CITRULBIO-PWY,PWY-6125,-0.1882614411466589
CITRULBIO-PWY,PWY-6126,-0.21075595762267832
CITRULBIO-PWY,PWY-6151,-0.3214159775661147
CITRULBIO-PWY,PWY-6163,-0.4224802467313234
CITRULBIO-PWY,PWY-6277,-0.27565850273524967
CITRULBIO-PWY,PWY-6385,-0.6381798550078753
CITRULBIO-PWY,PWY-6386,-0.5973242655918654
CITRULBIO-PWY,PWY-6387,-0.6227551143399532
CITRULBIO-PWY,PWY-6609,-0.5440177404155164
CITRULBIO-PWY,PWY-6700,-0.22297985027167241
CITRULBIO-PWY,PWY-6737,-0.13959260638274087
CITRULBIO-PWY,PWY-6901,0.9044114983971046
CITRULBIO-PWY,PWY-7111,-0.8254980854560403
CITRULBIO-PWY,PWY-7219,-0.3770085274685515
CITRULBIO-PWY,PWY-7220,-0.40016164490856915
CITRULBIO-PWY,PWY-7221,-0.5386582011081996
CITRULBIO-PWY,PWY-7222,-0.40016164490856915
CITRULBIO-PWY,PWY-7228,-0.24845100983086255
CITRULBIO-PWY,PWY-7229,-0.3409531722186032
CITRULBIO-PWY,PWY0-1319,-0.310975615854299
CITRULBIO-PWY,PWY0-1586,-0.8585117996786121
CITRULBIO-PWY,RIBOSYN2-PWY,-0.13745498096456
CITRULBIO-PWY,THRESYN-PWY,-0.04756415328778141
CITRULBIO-PWY,TRNA-CHARGING-PWY,-0.38560510507135903
CITRULBIO-PWY,VALSYN-PWY,-0.8254980854560403
COA-PWY,PWY-1042,-0.18916368682985263
COA-PWY,PWY-4242,0.9038401730383717
COA-PWY,PWY-6703,0.9014369752974173
COA-PWY,PWY66-400,0.885503803963455
COA-PWY-1,PWY-6124,0.9020456827882651
COA-PWY-1,PWY-6901,-0.07006825878213739
COA-PWY-1,THRESYN-PWY,0.9002154686582325
COMPLETE-ARO-PWY,PWY-3841,0.9037704069586805
COMPLETE-ARO-PWY,PWY-6125,0.9034844880144608
COMPLETE-ARO-PWY,PWY-6901,-0.17550482912347262
DENOVOPURINE2-PWY,PANTO-PWY,0.9039498063077496
DENOVOPURINE2-PWY,PWY-1042,-0.05097144079581125
DENOVOPURINE2-PWY,PWY-6147,0.9036728287491811
DTDPRHAMSYN-PWY,PWY-6385,0.8737908788509329
DTDPRHAMSYN-PWY,PWY-6387,0.8675986580068119
DTDPRHAMSYN-PWY,PWY-6901,-0.7173409332178378
FASYN-ELONG-PWY,PWY-1042,-0.5750530446486606
FASYN-ELONG-PWY,PWY0-1586,-0.4158778542363941
FASYN-ELONG-PWY,PWY0-162,0.8948515206959499
FASYN-INITIAL-PWY,PWY-1042,-0.7285478236063707
FASYN-INITIAL-PWY,PWY-5103,0.9033512432598486
FASYN-INITIAL-PWY,PWY0-1586,-0.6127313783505675
GLUCONEO-PWY,PWY-1042,-0.7039730771856442
GLUCONEO-PWY,PWY-6282,0.903303774831608
GLUCONEO-PWY,PWY-7208,0.904054840157539
