OTU1_clean,OTU2_clean,weight
1CMET2-PWY,PEPTIDOGLYCANSYN-PWY,0.9044481532712769
1CMET2-PWY,PWY-5659,-0.711546785633267
1CMET2-PWY,PWY-6387,0.9021898260725197
1CMET2-PWY,PWY-7219,0.9016655202325405
1CMET2-PWY,PWY0-1296,-0.7171176327974231
ANAEROFRUCAT-PWY,CITRULBIO-PWY,0.8939869560963688
ANAEROFRUCAT-PWY,DTDPRHAMSYN-PWY,-0.6941441462722676
ANAEROFRUCAT-PWY,PWY-1042,-0.7119820060057163
ANAEROFRUCAT-PWY,PWY-6897,0.8993290096588247
ANAGLYCOLYSIS-PWY,COMPLETE-ARO-PWY,0.9043348350880199
ANAGLYCOLYSIS-PWY,PWY-5659,-0.16031383214899872
ANAGLYCOLYSIS-PWY,PWY-6147,0.9012527524585469
ANAGLYCOLYSIS-PWY,PWY0-1296,-0.17137648575137043
ARGININE-SYN4-PWY,ARO-PWY,0.9050985245888277
ARGININE-SYN4-PWY,PWY-5097,0.8993205306781323
ARGININE-SYN4-PWY,PWY-5103,0.9038332729539471
ARGININE-SYN4-PWY,PWY-5659,-0.1819854672578993
ARGININE-SYN4-PWY,PWY0-1296,-0.19296119050433097
ARGSYN-PWY,DTDPRHAMSYN-PWY,-0.8175054109121982
ARGSYN-PWY,PHOSLIPSYN-PWY,0.9004542833075595
ARGSYN-PWY,PWY-1042,-0.828875421465152
ARGSYN-PWY,PWY-4981,0.9004856733129412
ARGSYN-PWY,PWY-7400,0.9021403488931953
ARGSYN-PWY,PWY0-166,0.9050563892920989
ARGSYNBSUB-PWY,DTDPRHAMSYN-PWY,-0.8609026007772543
ARGSYNBSUB-PWY,PWY-1042,-0.869762570209871
ARGSYNBSUB-PWY,PWY-7184,0.904922265761189
ARGSYNBSUB-PWY,PWY-7187,0.9048870136071782
ARO-PWY,COMPLETE-ARO-PWY,0.9019225638480133
ARO-PWY,PWY-5103,0.9037828892956209
ARO-PWY,PWY-5659,-0.1817194420179228
ARO-PWY,PWY0-1296,-0.1926962967404718
ASPASN-PWY,PWY-5659,-0.08723092657401614
ASPASN-PWY,PWY-6703,0.9030143667615258
ASPASN-PWY,PWY0-1296,-0.09850835538723786
ASPASN-PWY,SER-GLYSYN-PWY,0.9036350649339266
BRANCHED-CHAIN-AA-SYN-PWY,HISTSYN-PWY,0.8999265213074873
BRANCHED-CHAIN-AA-SYN-PWY,PWY-2942,0.9049337462177005
BRANCHED-CHAIN-AA-SYN-PWY,PWY-3001,0.9032669546157527
BRANCHED-CHAIN-AA-SYN-PWY,PWY-5659,-0.3911214841706161
BRANCHED-CHAIN-AA-SYN-PWY,PWY0-1296,-0.40071385339941945
CALVIN-PWY,DTDPRHAMSYN-PWY,-0.7897623072280793
CALVIN-PWY,PHOSLIPSYN-PWY,0.8950849974113185
CALVIN-PWY,PWY-1042,-0.8026731419671134
CALVIN-PWY,PWY-5154,0.8947236272327903
CALVIN-PWY,PWY-7282,0.8932821944148601
CITRULBIO-PWY,DTDPRHAMSYN-PWY,-0.723271232379159
CITRULBIO-PWY,PWY-1042,-0.7396713999247985
CITRULBIO-PWY,PWY-6897,0.8875233827944493
COA-PWY,PWY-4242,0.8992222218179077
COA-PWY,PWY-5659,-0.519518514724636
COA-PWY,PWY-5973,0.9022430195452857
COA-PWY,PWY0-1296,-0.5277747449912285
COA-PWY-1,PWY-5659,-0.6207553868842038
COA-PWY-1,PWY-6124,0.9035793679697368
COA-PWY-1,PWY-6163,0.9034439132968886
COA-PWY-1,PWY-6700,0.8992301107571683
COA-PWY-1,PWY0-1296,-0.627698258466403
COMPLETE-ARO-PWY,PWY-5659,-0.1646785336156877
COMPLETE-ARO-PWY,PWY0-1296,-0.17572453353659662
DENOVOPURINE2-PWY,DTDPRHAMSYN-PWY,-0.13091137430988253
DENOVOPURINE2-PWY,PWY-1042,-0.16541554755982685
DENOVOPURINE2-PWY,PWY-6125,0.8999632506591422
DENOVOPURINE2-PWY,PWY-6126,0.9005503150265761
DENOVOPURINE2-PWY,PWY0-845,0.901348357656439
DTDPRHAMSYN-PWY,GLYCOLYSIS,-0.8806357749308888
DTDPRHAMSYN-PWY,PHOSLIPSYN-PWY,-0.8089092535836868
DTDPRHAMSYN-PWY,PWY-1042,0.8985649550258459
DTDPRHAMSYN-PWY,PWY-4981,-0.8256993208801545
DTDPRHAMSYN-PWY,PWY-4984,-0.8761579934414094
DTDPRHAMSYN-PWY,PWY-5154,-0.7681992133915713
DTDPRHAMSYN-PWY,PWY-5484,-0.8816597139744157
DTDPRHAMSYN-PWY,PWY-5659,-0.896351689598917
DTDPRHAMSYN-PWY,PWY-6125,-0.1582984204170937
DTDPRHAMSYN-PWY,PWY-6126,-0.1552772066456455
DTDPRHAMSYN-PWY,PWY-6897,-0.6775704793921437
DTDPRHAMSYN-PWY,PWY-6936,-0.3625157433651375
DTDPRHAMSYN-PWY,PWY-7184,-0.8612255956144974
DTDPRHAMSYN-PWY,PWY-7187,-0.861275851704583
DTDPRHAMSYN-PWY,PWY-7208,-0.8826350990852682
DTDPRHAMSYN-PWY,PWY-7220,-0.4372663597484661
DTDPRHAMSYN-PWY,PWY-7222,-0.4372663597484661
DTDPRHAMSYN-PWY,PWY-7282,-0.7652400644619257
DTDPRHAMSYN-PWY,PWY-7357,-0.8836258998083543
DTDPRHAMSYN-PWY,PWY-7400,-0.8119924797000764
DTDPRHAMSYN-PWY,PWY0-1296,-0.8985649550258459
DTDPRHAMSYN-PWY,PWY0-162,-0.8786296024681762
DTDPRHAMSYN-PWY,PWY0-166,-0.8176738793145062
DTDPRHAMSYN-PWY,PWY0-845,-0.11057485670813184
DTDPRHAMSYN-PWY,THISYN-PWY,-0.503749410320491
DTDPRHAMSYN-PWY,TRPSYN-PWY,-0.8800533553452428
DTDPRHAMSYN-PWY,VALSYN-PWY,0.7714238159416177
GLYCOLYSIS,PWY-1042,-0.8883142540293489
GLYCOLYSIS,PWY-5484,0.9043172146169589
GLYCOLYSIS,PWY0-162,0.9035329333601735
GLYCOLYSIS,TRPSYN-PWY,0.9046793767586415
HISDEG-PWY,PWY-5659,-0.1257445176300789
HISDEG-PWY,PWY-6147,0.9025587095775517
HISDEG-PWY,PWY-7539,0.9039421219627204
HISDEG-PWY,PWY0-1296,-0.13692384184210038
HISDEG-PWY,PYRIDOXSYN-PWY,0.903964585898008
HISTSYN-PWY,PWY-2942,0.9001517348261419
HISTSYN-PWY,PWY-5659,-0.41471355137186666
HISTSYN-PWY,PWY0-1296,-0.4240881167961577
ILEUSYN-PWY,PWY-5659,-0.7518410277674569
