OTU1_gs,OTU2_gs,weight
g__Actinomyces.s__Actinomyces_odontolyticus,g__Anaerostipes.s__Anaerostipes_hadrus,-0.82001268650483
g__Actinomyces.s__Actinomyces_odontolyticus,g__Bacteroides.s__Bacteroides_caccae,-0.3258724974225201
g__Actinomyces.s__Actinomyces_odontolyticus,g__Bacteroides.s__Bacteroides_dorei,-0.7729931507969102
g__Actinomyces.s__Actinomyces_odontolyticus,g__Bacteroides.s__Bacteroides_ovatus,0.8946199227887487
g__Actinomyces.s__Actinomyces_odontolyticus,g__Bacteroides.s__Bacteroides_thetaiotaomicron,-0.208667658507932
g__Actinomyces.s__Actinomyces_odontolyticus,g__Bacteroides.s__Bacteroides_uniformis,-0.7145472010294359
g__Actinomyces.s__Actinomyces_odontolyticus,g__Bacteroides.s__Bacteroides_vulgatus,-0.6313824458941063
g__Actinomyces.s__Actinomyces_odontolyticus,g__Bacteroides.s__Bacteroides_xylanisolvens,-0.6290384741254378
g__Actinomyces.s__Actinomyces_odontolyticus,g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum,-0.9051482536448665
g__Actinomyces.s__Actinomyces_odontolyticus,g__Blautia.s__Blautia_hansenii,-0.5300338117873864
g__Actinomyces.s__Actinomyces_odontolyticus,g__Blautia.s__Blautia_sp_CAG_257,-0.4869525723817843
g__Actinomyces.s__Actinomyces_odontolyticus,g__Blautia.s__Ruminococcus_gnavus,-0.8519725357955483
g__Actinomyces.s__Actinomyces_odontolyticus,g__Dorea.s__Dorea_longicatena,-0.6986683683141403
g__Actinomyces.s__Actinomyces_odontolyticus,g__Eggerthella.s__Eggerthella_lenta,-0.31890031109027983
g__Actinomyces.s__Actinomyces_odontolyticus,g__Parabacteroides.s__Parabacteroides_distasonis,-0.5017946705340016
g__Actinomyces.s__Actinomyces_odontolyticus,g__Paraprevotella.s__Paraprevotella_xylaniphila,-0.02895559930364434
