pathway,Taxonomy,gene
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,UniRef90_Q8A9S7
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,UniRef90_A0A076J5W7
1CMET2-PWY,g__Anaerostipes.s__Anaerostipes_hadrus,UniRef90_A0A173WIK6
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_A6L1Q8
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_A0A076INA9
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_A0A3E5E6E1
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_Q8A639
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_Q5LAX0
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_Q8A9S7
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_A0A076J5W7
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes_CAG_19,UniRef90_A0A173WIK6
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_A6L1Q8
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_A0A076INA9
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_A0A3E5E6E1
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_Q8A639
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_Q5LAX0
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_Q8A9S7
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_A0A076J5W7
1CMET2-PWY,g__Coprococcus.s__Coprococcus_comes,UniRef90_A0A173WIK6
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_A6L1Q8
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_A0A076INA9
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_A0A3E5E6E1
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_Q8A639
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_Q5LAX0
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_A0A0K2HJD8
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_Q8A9S7
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_A0A076J5W7
1CMET2-PWY,g__Eubacterium.s__Eubacterium_hallii_CAG_12,UniRef90_A0A173WIK6
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,
1CMET2-PWY,g__Dorea.s__Dorea_longicatena_CAG_42,UniRef90_A6L1Q8
