OTU1_clean,OTU2_clean,weight
1CMET2-PWY,ANAGLYCOLYSIS-PWY,0.8932333130962202
1CMET2-PWY,PWY-6126,0.8979163392184918
1CMET2-PWY,PWY-6527,0.904376375542677
1CMET2-PWY,PWY-6737,-0.15201196673604783
ANAEROFRUCAT-PWY,PWY-1042,-0.5759194303211902
ANAEROFRUCAT-PWY,PWY-6737,-0.691324615127243
ANAEROFRUCAT-PWY,PWY-7220,0.8988862819955081
ANAEROFRUCAT-PWY,PWY-7222,0.8988862819955081
ANAEROFRUCAT-PWY,THRESYN-PWY,0.8979782924075361
ANAGLYCOLYSIS-PWY,PWY-6126,0.9007796432944365
ANAGLYCOLYSIS-PWY,PWY-6737,-0.09064755644383629
ARGSYN-PWY,PWY-6121,0.9047629210606544
ARGSYN-PWY,PWY-6897,-0.48878069400133817
ARGSYN-PWY,PWY-7400,0.9039021935112634
ARGSYN-PWY,PWY66-400,-0.42833253233168944
ARGSYNBSUB-PWY,COA-PWY-1,0.904533914326495
ARGSYNBSUB-PWY,PWY-6122,0.9036257471628141
ARGSYNBSUB-PWY,PWY-6897,-0.5027648283942554
ARGSYNBSUB-PWY,PWY66-400,-0.4433519481657087
ARO-PWY,DTDPRHAMSYN-PWY,0.8994802434140651
ARO-PWY,PWY-6897,-0.656129344064652
ARO-PWY,PWY-7221,0.9021080029908879
ARO-PWY,PWY66-400,-0.6102892465161451
BRANCHED-CHAIN-AA-SYN-PWY,COMPLETE-ARO-PWY,0.9007500221496051
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6151,0.9040978327552714
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6387,0.8974687297595676
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6897,-0.5304625446832809
BRANCHED-CHAIN-AA-SYN-PWY,PWY66-400,-0.47319900598880854
CALVIN-PWY,PEPTIDOGLYCANSYN-PWY,0.8948770397593245
CALVIN-PWY,PWY-5103,0.9021501021552392
CALVIN-PWY,PWY-6897,-0.4014146950187946
CALVIN-PWY,PWY66-400,-0.3352487159444853
COA-PWY,PWY-3841,0.9008185980017012
COA-PWY,PWY-5097,0.9039757756401684
COA-PWY,PWY-6700,0.904518911592547
COA-PWY,PWY-6897,-0.07909272915402604
COA-PWY,PWY66-400,-0.0026539905209145716
COA-PWY-1,PWY-6122,0.9042456368509891
COA-PWY-1,PWY-6277,0.9042456368509891
COA-PWY-1,PWY-6897,-0.5052930393715684
COA-PWY-1,PWY66-400,-0.44607089488542
COMPLETE-ARO-PWY,PWY-6387,0.9020048739597417
COMPLETE-ARO-PWY,PWY-6897,-0.547362328537878
COMPLETE-ARO-PWY,PWY66-400,-0.49147501897955104
DENOVOPURINE2-PWY,OANTIGEN-PWY,0.8900639031747082
DENOVOPURINE2-PWY,PWY-1042,-0.8102533246971992
DENOVOPURINE2-PWY,PWY-6471,0.8960570037607577
DENOVOPURINE2-PWY,PWY-6737,-0.8672604376646714
DENOVOPURINE2-PWY,PWY-841,0.9004999995393073
