OTU1_clean,OTU2_clean,weight
1CMET2-PWY,MET-SAM-PWY,-0.3899839373996587
1CMET2-PWY,PWY-3841,0.9021855240056913
1CMET2-PWY,PWY-6353,-0.37527053088033796
1CMET2-PWY,PWY-6527,0.904603451830133
ANAEROFRUCAT-PWY,COBALSYN-PWY,0.8943265780641422
ANAEROFRUCAT-PWY,PWY-1042,-0.7114597708016492
ANAEROFRUCAT-PWY,PWY-6737,-0.7095276782569064
ANAEROFRUCAT-PWY,PWY-6897,0.8966865329276907
ANAEROFRUCAT-PWY,THISYNARA-PWY,0.8953634715295016
ANAGLYCOLYSIS-PWY,PWY-1042,-0.1934352674540039
ANAGLYCOLYSIS-PWY,PWY-6124,0.8926698603939371
ANAGLYCOLYSIS-PWY,PWY-6168,0.8981280260195811
ANAGLYCOLYSIS-PWY,PWY-6737,-0.1896767754775997
ARGSYN-PWY,MET-SAM-PWY,-0.6727026377820273
ARGSYN-PWY,PWY-6353,-0.6631558060498941
ARGSYN-PWY,PWY-7221,0.9001020020023565
ARGSYN-PWY,PWY-7400,0.9038303157242372
ARGSYNBSUB-PWY,ARO-PWY,0.9023624454297428
ARGSYNBSUB-PWY,MET-SAM-PWY,-0.6988609390590196
ARGSYNBSUB-PWY,PWY-6353,-0.6899356746202161
ARGSYNBSUB-PWY,PWY-6386,0.9043915066748759
ARGSYNBSUB-PWY,PWY-7221,0.9010618060167038
ARO-PWY,MET-SAM-PWY,-0.7065574439114218
ARO-PWY,PWY-6163,0.9041255975029648
ARO-PWY,PWY-6353,-0.6978197164167986
ARO-PWY,PWY-7219,0.9031051467687425
ASPASN-PWY,DENOVOPURINE2-PWY,0.8948074235041004
ASPASN-PWY,PWY-1042,-0.8307959513986171
ASPASN-PWY,PWY-6737,-0.8295833770639461
ASPASN-PWY,PWY-841,0.9037237485196362
BRANCHED-CHAIN-AA-SYN-PWY,CALVIN-PWY,0.9025056761500078
BRANCHED-CHAIN-AA-SYN-PWY,MET-SAM-PWY,-0.6519130715299162
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6353,-0.6418896612021052
BRANCHED-CHAIN-AA-SYN-PWY,PWY-6387,0.9036646906028261
CALVIN-PWY,MET-SAM-PWY,-0.6435354021399228
CALVIN-PWY,PEPTIDOGLYCANSYN-PWY,0.9029535595394815
CALVIN-PWY,PWY-6353,-0.6333242992046694
COA-PWY,MET-SAM-PWY,-0.3478328904566589
COA-PWY,NONOXIPENT-PWY,0.9008859324642791
COA-PWY,PWY-3841,0.8990711251204049
COA-PWY,PWY-6353,-0.33259097367315205
COA-PWY-1,GLUTORN-PWY,0.9047124555609327
COA-PWY-1,MET-SAM-PWY,-0.5436909440696951
COA-PWY-1,PWY-6151,0.9019475009879808
COA-PWY-1,PWY-6353,-0.5314351480322833
COBALSYN-PWY,PWY-1042,-0.738422362466473
COBALSYN-PWY,PWY-6737,-0.7366430321152712
COBALSYN-PWY,PWY-6897,0.8849577517666308
COMPLETE-ARO-PWY,MET-SAM-PWY,-0.6290083827092325
COMPLETE-ARO-PWY,PEPTIDOGLYCANSYN-PWY,0.9028825847238571
COMPLETE-ARO-PWY,PWY-5103,0.904379313196691
COMPLETE-ARO-PWY,PWY-6353,-0.6184777454008744
DENOVOPURINE2-PWY,OANTIGEN-PWY,0.9038221834314351
DENOVOPURINE2-PWY,PWY-1042,-0.8131441883809469
DENOVOPURINE2-PWY,PWY-5188,0.8950951192425501
DENOVOPURINE2-PWY,PWY-6737,-0.8118181178505788
DENOVOPURINE2-PWY,PWY-841,0.8932363204343631
DTDPRHAMSYN-PWY,MET-SAM-PWY,-0.6018193330381847
DTDPRHAMSYN-PWY,PWY-6121,0.9038652866135475
DTDPRHAMSYN-PWY,PWY-6353,-0.5907108377232562
DTDPRHAMSYN-PWY,PWY-6385,0.9043832503282486
GLUTORN-PWY,MET-SAM-PWY,-0.5453837837983746
GLUTORN-PWY,PWY-6151,0.9023952966009239
GLUTORN-PWY,PWY-6353,-0.5331597048555494
GLYCOGENSYNTH-PWY,MET-SAM-PWY,-0.7969386113890352
GLYCOGENSYNTH-PWY,PWY-1042,0.7969386113890352
GLYCOGENSYNTH-PWY,PWY-5686,0.9020041848488904
GLYCOGENSYNTH-PWY,PWY-6353,-0.7905618450426015
GLYCOGENSYNTH-PWY,PWY-6737,0.7983578647906697
GLYCOGENSYNTH-PWY,PWY-7111,0.8901437064530485
HISTSYN-PWY,PWY-1042,-0.033017697772943486
